nome,codigo,valor,intensidade,uf
CATINGUEIRA,2504207,1,s0,Paraíba
ICÓ,2305407,4,s3,Ceará
SÃO FELIPE,2929107,1,s0,Bahia
LUCRÉCIA,2406908,2,s1,Rio Grande do Norte
XEXÉU,2616506,3,s2,Pernambuco
SANTA FILOMENA,2209203,2,s1,Piauí
BARÃO DE GRAJAÚ,2101509,2,s1,Maranhão
ASSARÉ,2301604,3,s2,Ceará
POTENGI,2311207,4,s3,Ceará
SANTA ROSA DE LIMA,2806503,1,s0,Sergipe
NOVA SOURE,2922904,2,s1,Bahia
ITABAIANINHA,2803005,1,s0,Sergipe
IPAUMIRIM,2305704,4,s3,Ceará
RIACHÃO DO POÇO,2512762,3,s2,Paraíba
OLHO D'ÁGUA DAS FLORES,2705705,2,s1,Alagoas
CAROLINA,2102804,2,s1,Maranhão
PONTE ALTA DO BOM JESUS,1717800,1,s0,Tocantins
MANARI,2609154,4,s3,Pernambuco
MORTUGABA,2921807,1,s0,Bahia
JURU,2508000,2,s1,Paraíba
CUITÉ DE MAMANGUAPE,2505238,3,s2,Paraíba
VIANA,2112803,0,si,Maranhão
CAPITÃO DE CAMPOS,2202406,0,si,Piauí
VÁRZEA BRANCA,2211357,2,s1,Piauí
JANUÁRIO CICCO,2405306,1,s0,Rio Grande do Norte
CARIÚS,2303303,2,s1,Ceará
GRAJAÚ,2104800,2,s1,Maranhão
SÃO DOMINGOS,2806800,1,s0,Sergipe
CAMOCIM,2302602,2,s1,Ceará
HUGO NAPOLEÃO,2204600,2,s1,Piauí
ALCOBAÇA,2900801,0,si,Bahia
PASSA E FICA,2409100,1,s0,Rio Grande do Norte
AUGUSTINÓPOLIS,1702554,1,s0,Tocantins
PARIPUEIRA,2706448,1,s0,Alagoas
CRISTINO CASTRO,2203107,2,s1,Piauí
CURURUPU,2103703,1,s0,Maranhão
TEREZINHA,2615102,4,s3,Pernambuco
SANTO AMARO DAS BROTAS,2806602,1,s0,Sergipe
ARARA,2500908,3,s2,Paraíba
PAJEÚ DO PIAUÍ,2207355,2,s1,Piauí
LIMOEIRO DO NORTE,2307601,2,s1,Ceará
ESPINOSA,3124302,2,s1,Minas Gerais
MARACAÇUMÉ,2106326,1,s0,Maranhão
DOIS RIACHOS,2702504,3,s2,Alagoas
TEOFILÂNDIA,2931509,3,s2,Bahia
CRUZ,2304251,1,s0,Ceará
TUNTUM,2112308,0,si,Maranhão
SANTANA DO SERIDÓ,2411429,1,s0,Rio Grande do Norte
ITACURUBA,2607406,4,s3,Pernambuco
SAMBAÍBA,2109700,2,s1,Maranhão
CANAVIEIRAS,2906303,0,si,Bahia
URANDI,2932606,2,s1,Bahia
MORRO DO CHAPÉU,2921708,1,s0,Bahia
SALITRE,2311959,5,s4,Ceará
JUCURUÇU,2918456,0,si,Bahia
IBICUÍ,2912301,1,s0,Bahia
BANABUIÚ,2301851,2,s1,Ceará
CANTANHEDE,2102705,0,si,Maranhão
COREAÚ,2304004,3,s2,Ceará
LANDRI SALES,2205607,2,s1,Piauí
TIBAU DO SUL,2414209,0,si,Rio Grande do Norte
JANDAÍRA,2917904,1,s0,Bahia
PUREZA,2410405,1,s0,Rio Grande do Norte
CÂNDIDO MENDES,2102606,1,s0,Maranhão
SANTA LUZIA,2928059,0,si,Bahia
PASSAGEM,2510709,1,s0,Paraíba
SÃO JOSÉ DOS CORDEIROS,2514800,2,s1,Paraíba
BACABAL,2101202,0,si,Maranhão
CENTRAL,2907608,1,s0,Bahia
BELA VISTA DO PIAUÍ,2201556,4,s3,Piauí
POTIRAGUÁ,2925402,0,si,Bahia
MATO GROSSO,2509370,1,s0,Paraíba
LAJEDÃO,2918902,0,si,Bahia
GOVERNADOR LUIZ ROCHA,2104628,0,si,Maranhão
ITAPETINGA,2916401,2,s1,Bahia
BOQUIRA,2904100,2,s1,Bahia
MONTE ALEGRE DE SERGIPE,2804201,2,s1,Sergipe
NOVA IBIÁ,2922755,1,s0,Bahia
ITAIÇABA,2306207,3,s2,Ceará
RIACHUELO,2805901,1,s0,Sergipe
SERTÃOZINHO,2515930,2,s1,Paraíba
APODI,2401008,2,s1,Rio Grande do Norte
SANTANA DO MATOS,2411403,3,s2,Rio Grande do Norte
SANTA CRUZ DOS MILAGRES,2209153,2,s1,Piauí
PRAIA NORTE,1718303,2,s1,Tocantins
SANTO ANTÔNIO DOS LOPES,2110302,0,si,Maranhão
PEDRO LAURENTINO,2207934,3,s2,Piauí
INHAMBUPE,2913705,3,s2,Bahia
IPUPIARA,2914109,1,s0,Bahia
QUIXABA,2611533,2,s1,Pernambuco
MONTE ALEGRE,2407807,0,si,Rio Grande do Norte
CORONEL JOÃO SÁ,2909208,2,s1,Bahia
CANSANÇÃO,2906808,1,s0,Bahia
JANDAÍRA,2405108,3,s2,Rio Grande do Norte
PRESIDENTE DUTRA,2109106,0,si,Maranhão
TREMEDAL,2931806,3,s2,Bahia
PENTECOSTE,2310704,5,s4,Ceará
CONCEIÇÃO DO CANINDÉ,2202802,4,s3,Piauí
SUSSUAPARA,2210938,5,s4,Piauí
ALAGOINHA,2600609,4,s3,Pernambuco
IRACEMA,2306009,2,s1,Ceará
PALESTINA,2706208,2,s1,Alagoas
COTEGIPE,2909406,4,s3,Bahia
SÃO JOSÉ DE RIBAMAR,2111201,0,si,Maranhão
CATUNDA,2303659,3,s2,Ceará
PRATA DO PIAUÍ,2208601,1,s0,Piauí
SÃO JOÃO DO JAGUARIBE,2312502,2,s1,Ceará
ACARI,2400109,1,s0,Rio Grande do Norte
PORTALEGRE,2410207,2,s1,Rio Grande do Norte
ALEXANDRIA,2400505,2,s1,Rio Grande do Norte
NAZARÉ,2922508,1,s0,Bahia
PIRIPIRI,2208403,1,s0,Piauí
SÃO JOÃO,2613206,4,s3,Pernambuco
MONTADAS,2509503,3,s2,Paraíba
ARAÇAGI,2500809,3,s2,Paraíba
VERA CRUZ,2933208,1,s0,Bahia
SALGADO,2806206,1,s0,Sergipe
VÁRZEA,2414704,0,si,Rio Grande do Norte
MATEIROS,1712702,1,s0,Tocantins
AROAZES,2200905,2,s1,Piauí
POTIRETAMA,2311231,2,s1,Ceará
CEDRO DE SÃO JOÃO,2801603,1,s0,Sergipe
BARRO,2302008,2,s1,Ceará
ABREU E LIMA,2600054,3,s2,Pernambuco
EUCLIDES DA CUNHA,2910701,1,s0,Bahia
SÃO PAULO DO POTENGI,2412609,1,s0,Rio Grande do Norte
CASTELO DO PIAUÍ,2202604,2,s1,Piauí
XIQUE-XIQUE,2933604,2,s1,Bahia
CACIMBA DE DENTRO,2503506,2,s1,Paraíba
SANTA LUZIA DO ITANHY,2806305,1,s0,Sergipe
DEMERVAL LOBÃO,2203305,0,si,Piauí
APUAREMA,2901957,1,s0,Bahia
CAMPOS SALES,2302701,5,s4,Ceará
SANTA LUZIA DO NORTE,2707909,1,s0,Alagoas
ITABAIANA,2506905,4,s3,Paraíba
CEDRO,2303808,2,s1,Ceará
SÃO BENTO,2513901,1,s0,Paraíba
COROATÁ,2103604,0,si,Maranhão
ITAPISSUMA,2607752,2,s1,Pernambuco
HORIZONTE,2305233,3,s2,Ceará
EXU,2605301,5,s4,Pernambuco
SUCUPIRA DO NORTE,2111904,1,s0,Maranhão
SALINAS DA MARGARIDA,2927309,1,s0,Bahia
COCOS,2908101,1,s0,Bahia
NATAL,2408102,0,si,Rio Grande do Norte
COXIXOLA,2504850,4,s3,Paraíba
FERNANDO FALCÃO,2104081,2,s1,Maranhão
SERROLÂNDIA,2930600,1,s0,Bahia
IGARASSU,2606804,3,s2,Pernambuco
PRIMAVERA,2611408,4,s3,Pernambuco
RIACHÃO DO BACAMARTE,2512754,4,s3,Paraíba
SÃO JOSÉ DA VITÓRIA,2929354,0,si,Bahia
BREJO,2102101,0,si,Maranhão
MULUNGU,2509800,3,s2,Paraíba
RAFAEL GODEIRO,2410603,2,s1,Rio Grande do Norte
ALCANTIL,2500536,4,s3,Paraíba
PILAR,2706901,2,s1,Alagoas
ORÓS,2309508,2,s1,Ceará
MURIBECA,2804300,1,s0,Sergipe
PALMEIRAS,2923506,2,s1,Bahia
ITANAGRA,2915908,1,s0,Bahia
MALHADA DE PEDRAS,2920304,4,s3,Bahia
AREIA BRANCA,2800506,1,s0,Sergipe
AREIA BRANCA,2401107,3,s2,Rio Grande do Norte
SÃO MIGUEL,2412500,2,s1,Rio Grande do Norte
GUARATINGA,2911808,0,si,Bahia
IPOJUCA,2607208,3,s2,Pernambuco
AFRÂNIO,2600203,5,s4,Pernambuco
SÃO JOSÉ DO BREJO DO CRUZ,2514651,1,s0,Paraíba
BOM JESUS,2401701,1,s0,Rio Grande do Norte
LAGO VERDE,2105906,0,si,Maranhão
SERRA GRANDE,2515708,2,s1,Paraíba
SÃO BENTO DO NORTE,2411601,3,s2,Rio Grande do Norte
RETIROLÂNDIA,2926103,2,s1,Bahia
FRECHEIRINHA,2304509,3,s2,Ceará
TEJUÇUOCA,2313351,3,s2,Ceará
SÃO BENTO DO UNA,2613008,4,s3,Pernambuco
PICUÍ,2511400,3,s2,Paraíba
DIVISÓPOLIS,3122454,1,s0,Minas Gerais
CAJAZEIRINHAS,2503753,2,s1,Paraíba
SEVERIANO MELO,2413607,2,s1,Rio Grande do Norte
BARAÚNA,2401453,3,s2,Rio Grande do Norte
NOSSA SENHORA DE LOURDES,2804706,2,s1,Sergipe
CALÇADO,2603306,4,s3,Pernambuco
CRUZ DO ESPÍRITO SANTO,2504900,3,s2,Paraíba
JUVENÍLIA,3136959,2,s1,Minas Gerais
RAFAEL FERNANDES,2410504,2,s1,Rio Grande do Norte
TAPEROÁ,2931202,1,s0,Bahia
CAMPO DO BRITO,2801009,1,s0,Sergipe
SÃO JOSÉ DOS RAMOS,2514453,4,s3,Paraíba
QUIXADÁ,2311306,3,s2,Ceará
JERICÓ,2507408,2,s1,Paraíba
MATARACA,2509305,1,s0,Paraíba
VARGEM GRANDE,2112704,0,si,Maranhão
JUNDIÁ,2703908,2,s1,Alagoas
FEIRA DE SANTANA,2910800,3,s2,Bahia
LAGO DA PEDRA,2105708,0,si,Maranhão
BOM JESUS,2201903,2,s1,Piauí
ALCÂNTARA,2100204,0,si,Maranhão
JÚLIO BORGES,2205524,2,s1,Piauí
AXIXÁ,2101103,0,si,Maranhão
MONTE ALEGRE DO PIAUÍ,2206605,2,s1,Piauí
MUCURI,2922003,0,si,Bahia
BIRITINGA,2903607,3,s2,Bahia
CENTRO DO GUILHERME,2103158,0,si,Maranhão
FLORÂNIA,2403806,3,s2,Rio Grande do Norte
JEREMOABO,2918100,2,s1,Bahia
CANGUARETAMA,2402204,1,s0,Rio Grande do Norte
SÃO JOÃO DO ARRAIAL,2209971,0,si,Piauí
LAGOA NOVA,2406502,3,s2,Rio Grande do Norte
AMARAJI,2600906,4,s3,Pernambuco
POCINHOS,2512002,3,s2,Paraíba
JUSSIAPE,2918605,4,s3,Bahia
BONITO DE SANTA FÉ,2502409,2,s1,Paraíba
CORONEL EZEQUIEL,2402808,3,s2,Rio Grande do Norte
UBAJARA,2313609,4,s3,Ceará
SÃO GONÇALO DOS CAMPOS,2929305,3,s2,Bahia
PINDOBAÇU,2924603,1,s0,Bahia
COCAL DE TELHA,2202711,0,si,Piauí
GARANHUNS,2606002,4,s3,Pernambuco
ÁGUAS BELAS,2600500,4,s3,Pernambuco
GUARIBAS,2204550,2,s1,Piauí
MAJOR ISIDORO,2704401,2,s1,Alagoas
BOM LUGAR,2102077,0,si,Maranhão
MATINHA,2106508,0,si,Maranhão
BONITO,2904050,1,s0,Bahia
UNA,2932507,0,si,Bahia
MARACANAÚ,2307650,4,s3,Ceará
CÂNDIDO SALES,2906709,2,s1,Bahia
POÇO DANTAS,2512036,2,s1,Paraíba
MURICI,2705507,2,s1,Alagoas
GRANJEIRO,2304806,2,s1,Ceará
CARNAUBEIRA DA PENHA,2603926,4,s3,Pernambuco
SERRA DE SÃO BENTO,2413300,1,s0,Rio Grande do Norte
CRISÓPOLIS,2909604,1,s0,Bahia
PORTO FRANCO,2109007,2,s1,Maranhão
SANTA RITA DE CÁSSIA,2928406,2,s1,Bahia
PILÕES,2511608,3,s2,Paraíba
BARRO ALTO,2903235,1,s0,Bahia
MALHADA,2920205,2,s1,Bahia
CAMPO MAIOR,2202208,0,si,Piauí
PIAÇABUÇU,2706802,1,s0,Alagoas
SANTA FILOMENA DO MARANHÃO,2109759,0,si,Maranhão
ITIÚBA,2917003,1,s0,Bahia
MALHADA DOS BOIS,2803807,1,s0,Sergipe
ARATACA,2902252,0,si,Bahia
PRESIDENTE SARNEY,2109270,0,si,Maranhão
DESTERRO,2505402,2,s1,Paraíba
MIRANGABA,2921401,1,s0,Bahia
LOGRADOURO,2508554,2,s1,Paraíba
SÃO RAIMUNDO DAS MANGABEIRAS,2111607,2,s1,Maranhão
JUNDIÁ,2406155,0,si,Rio Grande do Norte
SOUSA,2516201,2,s1,Paraíba
RIACHÃO,2109502,2,s1,Maranhão
COLÔNIA DO GURGUÉIA,2202752,2,s1,Piauí
CHÃ DE ALEGRIA,2604403,3,s2,Pernambuco
SANTA CRUZ DA VITÓRIA,2927804,1,s0,Bahia
PALMEIRAIS,2207504,1,s0,Piauí
INGAZEIRA,2607109,3,s2,Pernambuco
COREMAS,2504801,2,s1,Paraíba
MARI,2509107,3,s2,Paraíba
SANTA FILOMENA,2612554,5,s4,Pernambuco
GONGOGI,2911501,1,s0,Bahia
BONITO DE MINAS,3108255,1,s0,Minas Gerais
LAGOA SALGADA,2406601,1,s0,Rio Grande do Norte
PALMEIRAS DO TOCANTINS,1713809,1,s0,Tocantins
UMBURANAS,2932457,1,s0,Bahia
INAJÁ,2607000,4,s3,Pernambuco
NOSSA SENHORA DE NAZARÉ,2206753,0,si,Piauí
ITAUEIRA,2205102,3,s2,Piauí
FREI MIGUELINHO,2605806,4,s3,Pernambuco
NAZÁRIA,2206720,0,si,Piauí
BARRA DO CORDA,2101608,0,si,Maranhão
RIO GRANDE DO PIAUÍ,2209005,2,s1,Piauí
ITAMARAJU,2915601,0,si,Bahia
UAUÁ,2932002,2,s1,Bahia
JATAÚBA,2608008,4,s3,Pernambuco
CORTÊS,2604809,4,s3,Pernambuco
SÃO SEBASTIÃO DE LAGOA DE ROÇA,2515104,3,s2,Paraíba
PIATÃ,2924306,2,s1,Bahia
TOMAR DO GERU,2807501,1,s0,Sergipe
PIRAÍ DO NORTE,2924678,1,s0,Bahia
TELHA,2807303,2,s1,Sergipe
JAPOATÃ,2803401,1,s0,Sergipe
SÃO RAIMUNDO DO DOCA BEZERRA,2111631,0,si,Maranhão
OUROLÂNDIA,2923357,1,s0,Bahia
CARUTAPERA,2102903,1,s0,Maranhão
PROPRIÁ,2805703,1,s0,Sergipe
SÃO JULIÃO,2210300,5,s4,Piauí
SÃO DESIDÉRIO,2928901,3,s2,Bahia
PERI MIRIM,2108405,0,si,Maranhão
LUÍS CORREIA,2205706,4,s3,Piauí
PARELHAS,2408904,1,s0,Rio Grande do Norte
ITAQUARA,2916708,1,s0,Bahia
ARCOVERDE,2601201,4,s3,Pernambuco
JARDIM DE PIRANHAS,2405603,1,s0,Rio Grande do Norte
RIBEIRÃO,2611804,4,s3,Pernambuco
CABACEIRAS,2503100,4,s3,Paraíba
JOSÉ DE FREITAS,2205508,0,si,Piauí
SÃO JOSÉ DA COROA GRANDE,2613404,2,s1,Pernambuco
PRESIDENTE DUTRA,2925600,1,s0,Bahia
RIBAMAR FIQUENE,2109551,2,s1,Maranhão
GURJÃO,2506509,2,s1,Paraíba
PARARI,2510659,2,s1,Paraíba
JUNCO DO MARANHÃO,2105658,1,s0,Maranhão
BURITI,2102200,0,si,Maranhão
ITAETÉ,2915007,2,s1,Bahia
MOGEIRO,2509404,4,s3,Paraíba
JAGUARUANA,2307007,3,s2,Ceará
MAGALHÃES DE ALMEIDA,2106300,0,si,Maranhão
LAGOA DO SÍTIO,2205599,4,s3,Piauí
ANAGÉ,2901205,4,s3,Bahia
POÇO DE JOSÉ DE MOURA,2512077,4,s3,Paraíba
IPU,2305803,4,s3,Ceará
ANDORINHA,2901353,1,s0,Bahia
TANQUINHO,2931103,3,s2,Bahia
PIQUET CARNEIRO,2310902,3,s2,Ceará
SANTANA DO MUNDAÚ,2708105,2,s1,Alagoas
CAICÓ,2402006,1,s0,Rio Grande do Norte
MASSARANDUBA,2509206,4,s3,Paraíba
CASCAVEL,2303501,3,s2,Ceará
PARNAMIRIM,2403251,0,si,Rio Grande do Norte
CANDEAL,2906402,3,s2,Bahia
BOM JESUS DAS SELVAS,2102036,1,s0,Maranhão
OLIVEDOS,2510501,2,s1,Paraíba
SURUBIM,2614501,4,s3,Pernambuco
FARTURA DO PIAUÍ,2203750,2,s1,Piauí
BAIXA GRANDE DO RIBEIRO,2201150,2,s1,Piauí
CRISTINÁPOLIS,2801702,1,s0,Sergipe
DORMENTES,2605152,5,s4,Pernambuco
WANDERLEY,2933455,3,s2,Bahia
JUAZEIRO,2918407,5,s4,Bahia
SÃO JOÃO DO TIGRE,2514107,4,s3,Paraíba
ITATUBA,2507200,4,s3,Paraíba
CAUCAIA,2303709,5,s4,Ceará
CABECEIRAS DO PIAUÍ,2202059,0,si,Piauí
SANTO ANTÔNIO DO JACINTO,3160306,0,si,Minas Gerais
IRAJUBA,2914208,1,s0,Bahia
APARECIDA,2500775,2,s1,Paraíba
CARUARU,2604106,4,s3,Pernambuco
SANTA CRUZ DO PIAUÍ,2209104,4,s3,Piauí
CAMALAÚ,2503902,4,s3,Paraíba
ANGICAL,2901403,4,s3,Bahia
HELIÓPOLIS,2911857,1,s0,Bahia
SÃO JOSÉ DO EGITO,2613602,3,s2,Pernambuco
CATURAMA,2907558,3,s2,Bahia
PAULISTA,2610707,3,s2,Pernambuco
CONTENDAS DO SINCORÁ,2908804,4,s3,Bahia
JOSELÂNDIA,2105609,0,si,Maranhão
MACEIÓ,2704302,1,s0,Alagoas
SÃO FÉLIX DO CORIBE,2929057,2,s1,Bahia
